"StationNbr","Name","City","RegionalOffice","County","ConnectDate","DisconnectDate","IsActive","IsEtoStation","Elevation","GroundCover","HmsLatitude","HmsLongitude","ZipCodes","SitingDesc"
"10","Bakersfield/Greenlee","Mettler Station","South Central Region Office","Kern","10/1/1982","4/16/1986","False","True","400","Grass","35º4'37N / 35.077083","-119º4'56W / -119.082130","93313",""
"11","Bakersfield/Bonanza","Conner","South Central Region Office","Kern","9/29/1982","4/17/1986","False","True","290","Grass","35º9'38N / 35.160556","-119º10'51W / -119.180830","93383",""
"11","Bakersfield/Bonanza","Conner","South Central Region Office","Kern","9/29/1982","4/17/1986","False","True","290","Grass","35º9'38N / 35.160556","-119º10'51W / -119.180830","93381",""
"11","Bakersfield/Bonanza","Conner","South Central Region Office","Kern","9/29/1982","4/17/1986","False","True","290","Grass","35º9'38N / 35.160556","-119º10'51W / -119.180830","93313",""
"12","Durham","Chico","Northern Region Office","Butte","10/19/1982","12/31/2050","True","True","130","Grass","39º36'31N / 39.608639","-121º49'28W / -121.824430","95974",""
"12","Durham","Chico","Northern Region Office","Butte","10/19/1982","12/31/2050","True","True","130","Grass","39º36'31N / 39.608639","-121º49'28W / -121.824430","95958",""
"12","Durham","Chico","Northern Region Office","Butte","10/19/1982","12/31/2050","True","True","130","Grass","39º36'31N / 39.608639","-121º49'28W / -121.824430","95938",""
"13","Camino","Placerville","North Central Region Office","El Dorado","10/19/1982","12/31/2050","True","True","2780","Grass","38º45'11N / 38.753136","-120º44'1W / -120.7336","95667",""
"13","Camino","Placerville","North Central Region Office","El Dorado","10/19/1982","12/31/2050","True","True","2780","Grass","38º45'11N / 38.753136","-120º44'1W / -120.7336","95709",""
"14","Orland","Orland","Northern Region Office","Glenn","10/30/1982","4/21/1987","False","True","235","Grass","39º44'22N / 39.739444","-122º10'17W / -122.171390","95961",""
"14","Orland","Orland","Northern Region Office","Glenn","10/30/1982","4/21/1987","False","True","235","Grass","39º44'22N / 39.739444","-122º10'17W / -122.171390","95943",""
"14","Orland","Orland","Northern Region Office","Glenn","10/30/1982","4/21/1987","False","True","235","Grass","39º44'22N / 39.739444","-122º10'17W / -122.171390","95613",""
"14","Orland","Orland","Northern Region Office","Glenn","10/30/1982","4/21/1987","False","True","235","Grass","39º44'22N / 39.739444","-122º10'17W / -122.171390","95963",""
"15","Stratford","Stratford","South Central Region Office","Kings","10/29/1982","12/31/2050","True","True","193","Grass","36º9'29N / 36.157972","-119º51'5W / -119.851430","93246",""
"15","Stratford","Stratford","South Central Region Office","Kings","10/29/1982","12/31/2050","True","True","193","Grass","36º9'29N / 36.157972","-119º51'5W / -119.851430","93245",""
"15","Stratford","Stratford","South Central Region Office","Kings","10/29/1982","12/31/2050","True","True","193","Grass","36º9'29N / 36.157972","-119º51'5W / -119.851430","93234",""
"15","Stratford","Stratford","South Central Region Office","Kings","10/29/1982","12/31/2050","True","True","193","Grass","36º9'29N / 36.157972","-119º51'5W / -119.851430","93202",""
"15","Stratford","Stratford","South Central Region Office","Kings","10/29/1982","12/31/2050","True","True","193","Grass","36º9'29N / 36.157972","-119º51'5W / -119.851430","93266",""
"16","San Juan","Watsonville","South Central Region Office","Monterey","10/23/1982","8/24/1995","False","True","44","Grass","36º54'17N / 36.904722","-121º42'11W / -121.703060","95077",""
"16","San Juan","Watsonville","South Central Region Office","Monterey","10/23/1982","8/24/1995","False","True","44","Grass","36º54'17N / 36.904722","-121º42'11W / -121.703060","95076",""
"16","San Juan","Watsonville","South Central Region Office","Monterey","10/23/1982","8/24/1995","False","True","44","Grass","36º54'17N / 36.904722","-121º42'11W / -121.703060","95075",""
"16","San Juan","Watsonville","South Central Region Office","Monterey","10/23/1982","8/24/1995","False","True","44","Grass","36º54'17N / 36.904722","-121º42'11W / -121.703060","95019",""
"16","San Juan","Watsonville","South Central Region Office","Monterey","10/23/1982","8/24/1995","False","True","44","Grass","36º54'17N / 36.904722","-121º42'11W / -121.703060","95018",""
"17","El Centro","Meloland","Southern Region Office","Imperial","11/8/1982","5/27/1987","False","True","-86","Grass","32º50'47N / 32.846389","-115º26'54W / -115.448330","92249",""
"17","El Centro","Meloland","Southern Region Office","Imperial","11/8/1982","5/27/1987","False","True","-86","Grass","32º50'47N / 32.846389","-115º26'54W / -115.448330","92232",""
"17","El Centro","Meloland","Southern Region Office","Imperial","11/8/1982","5/27/1987","False","True","-86","Grass","32º50'47N / 32.846389","-115º26'54W / -115.448330","92231",""
"17","El Centro","Meloland","Southern Region Office","Imperial","11/8/1982","5/27/1987","False","True","-86","Grass","32º50'47N / 32.846389","-115º26'54W / -115.448330","92251",""
"17","El Centro","Meloland","Southern Region Office","Imperial","11/8/1982","5/27/1987","False","True","-86","Grass","32º50'47N / 32.846389","-115º26'54W / -115.448330","92250",""
"17","El Centro","Meloland","Southern Region Office","Imperial","11/8/1982","5/27/1987","False","True","-86","Grass","32º50'47N / 32.846389","-115º26'54W / -115.448330","92244",""
"17","El Centro","Meloland","Southern Region Office","Imperial","11/8/1982","5/27/1987","False","True","-86","Grass","32º50'47N / 32.846389","-115º26'54W / -115.448330","92243",""
"18","Westmorland","Westmorland","Southern Region Office","Imperial","11/11/1982","4/9/1986","False","True","-195","Grass","33º4'39N / 33.0775","-115º36'50W / -115.613890","92233",""
"18","Westmorland","Westmorland","Southern Region Office","Imperial","11/11/1982","4/9/1986","False","True","-195","Grass","33º4'39N / 33.0775","-115º36'50W / -115.613890","92227",""
"18","Westmorland","Westmorland","Southern Region Office","Imperial","11/11/1982","4/9/1986","False","True","-195","Grass","33º4'39N / 33.0775","-115º36'50W / -115.613890","92281",""
"19","Castroville","Castroville","South Central Region Office","Monterey","11/18/1982","11/20/2019","False","False","9","Grass","36º46'5N / 36.768167","-121º46'25W / -121.773640","93907",""
"19","Castroville","Castroville","South Central Region Office","Monterey","11/18/1982","11/20/2019","False","False","9","Grass","36º46'5N / 36.768167","-121º46'25W / -121.773640","93908",""
"19","Castroville","Castroville","South Central Region Office","Monterey","11/18/1982","11/20/2019","False","False","9","Grass","36º46'5N / 36.768167","-121º46'25W / -121.773640","93933",""
"19","Castroville","Castroville","South Central Region Office","Monterey","11/18/1982","11/20/2019","False","False","9","Grass","36º46'5N / 36.768167","-121º46'25W / -121.773640","95012",""
"19","Castroville","Castroville","South Central Region Office","Monterey","11/18/1982","11/20/2019","False","False","9","Grass","36º46'5N / 36.768167","-121º46'25W / -121.773640","95039",""
"20","Corcoran","Corcoran","South Central Region Office","Kings","11/22/1982","4/9/1986","False","True","190","Grass","36º2'25N / 36.040278","-119º34'22W / -119.572780","93212",""
"20","Corcoran","Corcoran","South Central Region Office","Kings","11/22/1982","4/9/1986","False","True","190","Grass","36º2'25N / 36.040278","-119º34'22W / -119.572780","93282",""
"21","Kettleman","Kettleman City","South Central Region Office","Kings","11/19/1982","9/1/2017","False","True","340","Grass","35º52'4N / 35.867750","-119º53'42W / -119.8949","93266",""
"21","Kettleman","Kettleman City","South Central Region Office","Kings","11/19/1982","9/1/2017","False","True","340","Grass","35º52'4N / 35.867750","-119º53'42W / -119.8949","93234",""
"21","Kettleman","Kettleman City","South Central Region Office","Kings","11/19/1982","9/1/2017","False","True","340","Grass","35º52'4N / 35.867750","-119º53'42W / -119.8949","93249",""
"21","Kettleman","Kettleman City","South Central Region Office","Kings","11/19/1982","9/1/2017","False","True","340","Grass","35º52'4N / 35.867750","-119º53'42W / -119.8949","93239",""
"22","Caruthers","Laton","South Central Region Office","Kings","11/18/1982","6/6/1988","False","True","238","Grass","36º29'25N / 36.490278","-119º46'45W / -119.779170","93656",""
